date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Coventry,1,-6,6,ENE,0.0,88,25,1030
2009-01-02,United Kingdom,Coventry,4,-1,12,NE,0.1,92,52,1031
2009-01-03,United Kingdom,Coventry,3,-3,8,SSW,0.0,85,10,1030
2009-01-04,United Kingdom,Coventry,0,-4,12,W,0.0,78,40,1023
2009-01-05,United Kingdom,Coventry,2,-3,16,SSE,2.8,91,41,1023
2009-01-06,United Kingdom,Coventry,0,-5,9,SE,0.0,87,7,1028
2009-01-07,United Kingdom,Coventry,1,-5,10,WNW,1.2,94,80,1026
2009-01-08,United Kingdom,Coventry,4,-1,6,SW,0.4,94,54,1029
2009-01-09,United Kingdom,Coventry,2,-2,7,SSE,0.0,85,8,1029
2009-01-10,United Kingdom,Coventry,0,-5,15,SSW,0.0,81,13,1026
2009-01-11,United Kingdom,Coventry,8,1,34,SSW,0.1,80,38,1019
2009-01-12,United Kingdom,Coventry,9,8,31,SSW,12.5,92,91,1008
2009-01-13,United Kingdom,Coventry,8,3,17,WSW,0.9,93,72,1008
2009-01-14,United Kingdom,Coventry,4,0,13,SSW,0.1,92,31,1013
2009-01-15,United Kingdom,Coventry,6,5,27,SSE,0.8,89,87,1010
2009-01-16,United Kingdom,Coventry,8,5,23,S,2.2,92,93,1011
2009-01-17,United Kingdom,Coventry,8,6,33,SSW,5.1,86,76,1003
2009-01-18,United Kingdom,Coventry,5,3,25,WSW,1.8,85,30,993
2009-01-19,United Kingdom,Coventry,6,1,24,SSW,3.7,92,63,981
2009-01-20,United Kingdom,Coventry,5,1,22,SW,0.0,89,24,988
2009-01-21,United Kingdom,Coventry,3,1,23,SSW,5.7,93,58,998
2009-01-22,United Kingdom,Coventry,9,4,27,SSW,8.9,90,79,984
2009-01-23,United Kingdom,Coventry,4,2,21,WSW,11.3,95,58,977
2009-01-24,United Kingdom,Coventry,5,1,15,WSW,0.0,91,34,988
2009-01-25,United Kingdom,Coventry,8,4,25,SSE,2.4,92,66,983
2009-01-26,United Kingdom,Coventry,7,1,9,E,0.0,95,68,998
2009-01-27,United Kingdom,Coventry,6,1,16,S,1.2,94,58,1011
2009-01-28,United Kingdom,Coventry,8,6,11,SE,10.5,96,99,1012
2009-01-29,United Kingdom,Coventry,5,1,18,SE,1.2,91,61,1015
2009-01-30,United Kingdom,Coventry,6,1,26,SE,0.2,84,58,1014
2009-01-31,United Kingdom,Coventry,5,0,26,ESE,0.0,73,47,1012
2009-02-01,United Kingdom,Coventry,3,-2,25,ENE,0.4,76,53,1013
2009-02-02,United Kingdom,Coventry,1,-2,22,NE,5.4,85,89,1001
2009-02-03,United Kingdom,Coventry,2,-2,19,SE,0.5,91,66,995
2009-02-04,United Kingdom,Coventry,3,-1,15,SE,0.5,92,59,995
2009-02-05,United Kingdom,Coventry,1,-2,16,NE,8.6,97,90,990
2009-02-06,United Kingdom,Coventry,1,-1,18,SE,9.8,96,69,992
2009-02-07,United Kingdom,Coventry,2,-3,15,NW,0.0,94,42,997
2009-02-08,United Kingdom,Coventry,2,-2,12,SW,1.5,95,68,1001
2009-02-09,United Kingdom,Coventry,3,-1,17,SSE,13.3,98,80,995
2009-02-10,United Kingdom,Coventry,3,0,25,W,15.8,95,72,999
2009-02-11,United Kingdom,Coventry,5,-1,14,WSW,4.1,96,59,1017
2009-02-12,United Kingdom,Coventry,1,-3,13,W,4.5,90,56,1024
2009-02-13,United Kingdom,Coventry,5,0,12,ESE,5.5,93,64,1023
2009-02-14,United Kingdom,Coventry,4,-2,6,SSE,0.4,89,37,1028
2009-02-15,United Kingdom,Coventry,7,3,14,W,1.3,94,72,1027
2009-02-16,United Kingdom,Coventry,10,5,16,WNW,0.0,89,54,1026
2009-02-17,United Kingdom,Coventry,10,6,16,NW,0.4,92,85,1026
2009-02-18,United Kingdom,Coventry,9,7,5,SSW,4.4,96,95,1027
2009-02-19,United Kingdom,Coventry,10,6,10,NW,0.4,86,60,1027
2009-02-20,United Kingdom,Coventry,8,4,9,WNW,0.4,87,66,1031
2009-02-21,United Kingdom,Coventry,11,4,11,WNW,0.6,86,43,1032
2009-02-22,United Kingdom,Coventry,9,4,17,WNW,0.3,86,81,1028
2009-02-23,United Kingdom,Coventry,9,6,16,NW,0.4,89,95,1025
2009-02-24,United Kingdom,Coventry,12,6,6,WNW,0.0,89,85,1027
2009-02-25,United Kingdom,Coventry,10,7,16,WSW,0.1,84,91,1027
2009-02-26,United Kingdom,Coventry,10,5,20,W,0.3,84,57,1023
2009-02-27,United Kingdom,Coventry,12,6,19,WSW,0.2,87,57,1019
2009-02-28,United Kingdom,Coventry,10,5,12,SSW,0.0,85,64,1014
2009-03-01,United Kingdom,Coventry,10,2,11,SW,0.0,86,40,1008
2009-03-02,United Kingdom,Coventry,9,2,16,WSW,0.2,85,56,1015
2009-03-03,United Kingdom,Coventry,8,5,27,SSW,7.7,94,89,1001
2009-03-04,United Kingdom,Coventry,6,0,10,WSW,1.0,83,46,982
2009-03-05,United Kingdom,Coventry,7,-1,11,SW,0.2,80,30,993
2009-03-06,United Kingdom,Coventry,9,0,12,WSW,0.0,83,29,1006
2009-03-07,United Kingdom,Coventry,10,4,20,WSW,0.3,89,68,1007
2009-03-08,United Kingdom,Coventry,6,2,30,WSW,3.0,81,49,1001
2009-03-09,United Kingdom,Coventry,9,3,28,W,0.2,75,75,1008
2009-03-10,United Kingdom,Coventry,8,4,18,W,12.5,95,81,1009
2009-03-11,United Kingdom,Coventry,13,1,11,WSW,0.0,89,57,1021
2009-03-12,United Kingdom,Coventry,12,7,19,WSW,1.4,86,78,1019
2009-03-13,United Kingdom,Coventry,11,6,13,SSW,0.2,88,86,1018
2009-03-14,United Kingdom,Coventry,12,6,22,W,0.2,81,51,1016
2009-03-15,United Kingdom,Coventry,14,4,9,WNW,0.0,85,35,1030
2009-03-16,United Kingdom,Coventry,14,5,10,WSW,0.0,81,32,1032
2009-03-17,United Kingdom,Coventry,13,4,12,ESE,0.0,85,22,1035
2009-03-18,United Kingdom,Coventry,14,2,6,ESE,0.0,83,11,1032
