date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Dudley,3,-4,5,SSE,0.0,88,35,1031
2009-01-02,United Kingdom,Dudley,3,-3,9,ESE,0.8,87,53,1033
2009-01-03,United Kingdom,Dudley,1,-3,15,WNW,0.0,82,23,1030
2009-01-04,United Kingdom,Dudley,2,-1,18,WNW,2.6,88,83,1021
2009-01-05,United Kingdom,Dudley,3,-1,16,E,2.5,77,42,1026
2009-01-06,United Kingdom,Dudley,0,-3,18,WSW,1.6,79,42,1027
2009-01-07,United Kingdom,Dudley,3,0,13,W,0.7,92,60,1024
2009-01-08,United Kingdom,Dudley,5,2,17,WSW,0.1,92,46,1026
2009-01-09,United Kingdom,Dudley,4,-1,14,SW,0.0,91,17,1027
2009-01-10,United Kingdom,Dudley,5,-2,31,SSW,0.3,78,37,1019
2009-01-11,United Kingdom,Dudley,9,7,46,SSW,3.9,85,87,1009
2009-01-12,United Kingdom,Dudley,10,6,33,SW,2.5,86,58,1001
2009-01-13,United Kingdom,Dudley,5,2,13,WSW,6.6,95,64,1005
2009-01-14,United Kingdom,Dudley,4,1,15,SSW,0.4,92,63,1011
2009-01-15,United Kingdom,Dudley,7,4,34,S,5.7,90,99,1007
2009-01-16,United Kingdom,Dudley,7,6,28,S,0.9,88,89,1006
2009-01-17,United Kingdom,Dudley,7,4,35,SSW,3.8,85,70,996
2009-01-18,United Kingdom,Dudley,5,2,30,SW,0.3,80,34,986
2009-01-19,United Kingdom,Dudley,4,1,26,SSW,8.9,90,66,977
2009-01-20,United Kingdom,Dudley,4,1,30,SW,0.6,83,64,982
2009-01-21,United Kingdom,Dudley,5,2,24,SSW,1.3,83,63,995
2009-01-22,United Kingdom,Dudley,8,2,33,SSW,4.0,85,67,980
2009-01-23,United Kingdom,Dudley,3,2,18,SW,1.7,88,54,976
2009-01-24,United Kingdom,Dudley,4,0,19,WSW,0.3,87,18,984
