date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Bristol,1,-4,11,E,0.0,71,14,1029
2009-01-02,United Kingdom,Bristol,3,-3,14,ENE,0.0,94,39,1030
2009-01-03,United Kingdom,Bristol,3,-3,11,ENE,0.0,80,10,1030
2009-01-04,United Kingdom,Bristol,1,-4,7,WSW,0.4,86,53,1024
2009-01-05,United Kingdom,Bristol,2,-3,18,ESE,0.2,87,36,1022
2009-01-06,United Kingdom,Bristol,0,-4,12,ENE,0.0,78,6,1028
2009-01-07,United Kingdom,Bristol,1,-4,7,NW,0.6,85,63,1027
2009-01-08,United Kingdom,Bristol,5,-1,4,SSE,0.2,91,32,1029
2009-01-09,United Kingdom,Bristol,3,-2,7,ESE,0.0,85,9,1028
2009-01-10,United Kingdom,Bristol,2,-3,14,S,0.0,89,13,1026
2009-01-11,United Kingdom,Bristol,8,3,31,SSW,0.1,82,36,1020
2009-01-12,United Kingdom,Bristol,10,8,31,SSW,3.0,91,87,1009
2009-01-13,United Kingdom,Bristol,8,3,15,WSW,0.1,93,62,1009
2009-01-14,United Kingdom,Bristol,5,0,15,SSW,0.3,93,49,1012
2009-01-15,United Kingdom,Bristol,7,6,29,SSE,1.3,89,98,1009
2009-01-16,United Kingdom,Bristol,9,7,23,S,1.4,93,88,1010
2009-01-17,United Kingdom,Bristol,8,7,33,SSW,5.1,86,72,1004
2009-01-18,United Kingdom,Bristol,6,4,23,WSW,1.2,88,46,995
2009-01-19,United Kingdom,Bristol,6,2,24,SSW,3.3,91,78,981
2009-01-20,United Kingdom,Bristol,6,1,18,SW,0.2,86,20,990
2009-01-21,United Kingdom,Bristol,4,1,22,SSW,6.0,94,63,999
2009-01-22,United Kingdom,Bristol,10,4,24,SSW,5.9,89,84,985
2009-01-23,United Kingdom,Bristol,6,2,23,W,3.4,89,46,979
2009-01-24,United Kingdom,Bristol,6,2,14,WSW,0.4,86,47,988
2009-01-25,United Kingdom,Bristol,8,4,24,S,5.6,89,42,982
2009-01-26,United Kingdom,Bristol,7,3,12,E,0.0,94,55,997
2009-01-27,United Kingdom,Bristol,7,2,17,S,1.8,95,60,1011
2009-01-28,United Kingdom,Bristol,9,7,11,S,2.2,94,91,1012
2009-01-29,United Kingdom,Bristol,7,4,22,SE,0.7,91,70,1014
2009-01-30,United Kingdom,Bristol,7,4,27,SE,1.6,88,80,1012
2009-01-31,United Kingdom,Bristol,6,2,26,ESE,0.0,76,64,1008
2009-02-01,United Kingdom,Bristol,2,-2,29,ENE,0.0,73,47,1010
2009-02-02,United Kingdom,Bristol,0,-2,25,ENE,3.5,82,88,1000
2009-02-03,United Kingdom,Bristol,3,-1,17,SSE,0.9,91,59,993
2009-02-04,United Kingdom,Bristol,3,0,18,ESE,0.7,93,71,993
2009-02-05,United Kingdom,Bristol,0,-1,20,NE,4.2,97,100,989
2009-02-06,United Kingdom,Bristol,1,-1,27,SE,9.4,94,68,991
2009-02-07,United Kingdom,Bristol,3,-2,16,NW,0.0,94,33,998
2009-02-08,United Kingdom,Bristol,3,-3,12,SW,0.8,95,61,1002
2009-02-09,United Kingdom,Bristol,3,1,19,SE,13.1,98,85,993
2009-02-10,United Kingdom,Bristol,5,1,28,NW,4.3,91,76,1001
2009-02-11,United Kingdom,Bristol,7,0,12,WNW,0.3,93,30,1018
2009-02-12,United Kingdom,Bristol,4,-2,12,SSW,0.2,86,44,1025
2009-02-13,United Kingdom,Bristol,7,2,13,SE,0.3,92,78,1023
2009-02-14,United Kingdom,Bristol,5,1,6,SSE,0.2,83,71,1028
2009-02-15,United Kingdom,Bristol,9,2,11,W,0.1,89,51,1028
2009-02-16,United Kingdom,Bristol,10,3,14,WNW,0.0,86,51,1027
2009-02-17,United Kingdom,Bristol,10,5,16,NW,0.0,88,76,1027
2009-02-18,United Kingdom,Bristol,9,7,5,W,1.3,93,79,1027
2009-02-19,United Kingdom,Bristol,10,4,8,WSW,1.3,89,69,1028
2009-02-20,United Kingdom,Bristol,9,2,8,WSW,0.0,85,29,1032
2009-02-21,United Kingdom,Bristol,11,4,12,WNW,0.0,82,33,1033
2009-02-22,United Kingdom,Bristol,10,5,18,WNW,0.0,85,55,1030
2009-02-23,United Kingdom,Bristol,9,6,14,NW,0.0,87,67,1026
2009-02-24,United Kingdom,Bristol,11,8,5,SW,0.1,86,84,1027
2009-02-25,United Kingdom,Bristol,9,7,13,WSW,0.0,85,81,1029
2009-02-26,United Kingdom,Bristol,10,5,19,W,0.1,85,51,1025
2009-02-27,United Kingdom,Bristol,11,5,17,W,0.2,87,49,1021
2009-02-28,United Kingdom,Bristol,11,4,10,S,0.0,88,36,1014
2009-03-01,United Kingdom,Bristol,10,1,11,WSW,0.1,86,39,1009
2009-03-02,United Kingdom,Bristol,9,2,14,W,0.1,86,47,1016
2009-03-03,United Kingdom,Bristol,7,6,25,SW,5.6,95,90,1002
2009-03-04,United Kingdom,Bristol,6,0,12,WSW,1.4,83,45,983
2009-03-05,United Kingdom,Bristol,7,0,15,S,0.4,79,41,992
2009-03-06,United Kingdom,Bristol,9,0,12,WSW,0.1,87,32,1006
2009-03-07,United Kingdom,Bristol,11,4,18,WSW,0.5,91,66,1009
2009-03-08,United Kingdom,Bristol,6,3,29,WSW,3.3,83,50,1004
2009-03-09,United Kingdom,Bristol,9,4,28,W,0.4,74,60,1011
2009-03-10,United Kingdom,Bristol,10,5,22,W,3.4,90,68,1010
2009-03-11,United Kingdom,Bristol,13,1,10,WSW,0.3,90,62,1022
2009-03-12,United Kingdom,Bristol,10,9,20,WSW,0.6,92,100,1021
2009-03-13,United Kingdom,Bristol,12,7,14,SSW,0.1,87,71,1019
2009-03-14,United Kingdom,Bristol,12,6,19,W,0.4,81,45,1018
2009-03-15,United Kingdom,Bristol,13,3,8,WNW,0.0,85,21,1030
2009-03-16,United Kingdom,Bristol,15,3,7,SW,0.0,84,26,1032
2009-03-17,United Kingdom,Bristol,14,4,12,ESE,0.0,85,15,1034
2009-03-18,United Kingdom,Bristol,16,2,7,E,0.0,87,27,1031
2009-03-19,United Kingdom,Bristol,14,5,11,ENE,0.0,82,4,1028
2009-03-20,United Kingdom,Bristol,13,1,11,ESE,0.0,81,27,1031
2009-03-21,United Kingdom,Bristol,14,1,9,W,0.0,77,18,1032
2009-03-22,United Kingdom,Bristol,14,3,15,NW,0.0,80,16,1033
2009-03-23,United Kingdom,Bristol,9,6,26,WNW,0.3,81,70,1022
2009-03-24,United Kingdom,Bristol,10,3,22,WNW,0.0,69,35,1019
2009-03-25,United Kingdom,Bristol,10,7,28,WNW,0.5,75,85,1007
2009-03-26,United Kingdom,Bristol,11,5,25,W,1.4,82,64,1004
2009-03-27,United Kingdom,Bristol,9,3,22,W,1.1,71,57,999
2009-03-28,United Kingdom,Bristol,9,3,21,NW,1.4,80,77,1001
2009-03-29,United Kingdom,Bristol,10,0,7,W,0.0,74,41,1014
2009-03-30,United Kingdom,Bristol,11,1,9,SW,0.0,83,59,1020
2009-03-31,United Kingdom,Bristol,15,6,4,SSW,0.0,81,36,1023
2009-04-01,United Kingdom,Bristol,15,6,10,NE,0.0,78,15,1022
2009-04-02,United Kingdom,Bristol,15,4,12,NE,0.0,85,32,1021
2009-04-03,United Kingdom,Bristol,17,4,7,SSE,0.0,83,11,1017
2009-04-04,United Kingdom,Bristol,13,6,14,WSW,0.8,80,40,1018
2009-04-05,United Kingdom,Bristol,13,1,7,S,0.0,79,26,1022
2009-04-06,United Kingdom,Bristol,13,5,15,SSE,0.6,86,71,1008
2009-04-07,United Kingdom,Bristol,12,4,19,SSW,0.6,81,62,1006
2009-04-08,United Kingdom,Bristol,13,7,22,SW,2.7,76,31,1005
2009-04-09,United Kingdom,Bristol,11,6,20,SSE,4.8,96,90,1006
2009-04-10,United Kingdom,Bristol,10,7,11,SSW,7.8,95,70,1002
2009-04-11,United Kingdom,Bristol,13,3,7,SSE,0.2,81,19,1009
2009-04-12,United Kingdom,Bristol,13,4,7,ESE,0.3,88,42,1014
2009-04-13,United Kingdom,Bristol,14,1,10,S,0.0,79,18,1010
2009-04-14,United Kingdom,Bristol,14,6,8,SE,0.6,90,68,1008
2009-04-15,United Kingdom,Bristol,14,8,16,ENE,1.2,92,69,1005
2009-04-16,United Kingdom,Bristol,15,10,10,ESE,4.2,91,76,1006
2009-04-17,United Kingdom,Bristol,11,7,8,SE,3.9,95,92,1011
2009-04-18,United Kingdom,Bristol,14,4,15,NE,0.6,80,21,1018
2009-04-19,United Kingdom,Bristol,16,3,10,NE,0.0,80,6,1024
2009-04-20,United Kingdom,Bristol,20,6,6,ESE,0.0,80,1,1027
2009-04-21,United Kingdom,Bristol,16,7,10,WNW,0.0,79,11,1027
2009-04-22,United Kingdom,Bristol,16,3,7,SW,0.0,82,18,1027
2009-04-23,United Kingdom,Bristol,16,6,11,S,0.0,77,21,1021
2009-04-24,United Kingdom,Bristol,17,8,18,SE,0.0,67,26,1013
2009-04-25,United Kingdom,Bristol,13,7,20,SSE,2.0,71,21,1004
2009-04-26,United Kingdom,Bristol,14,6,13,SSE,0.0,80,56,1006
2009-04-27,United Kingdom,Bristol,10,3,12,WSW,7.6,92,53,996
2009-04-28,United Kingdom,Bristol,13,-1,8,WSW,0.6,81,26,1001
2009-04-29,United Kingdom,Bristol,14,-1,13,SSW,0.3,81,53,1008
2009-04-30,United Kingdom,Bristol,13,10,14,SSE,3.9,96,89,1013
2009-05-01,United Kingdom,Bristol,16,7,11,SW,0.1,85,53,1023
2009-05-02,United Kingdom,Bristol,15,6,9,W,0.0,80,47,1028
2009-05-03,United Kingdom,Bristol,13,7,15,WNW,0.5,72,33,1028
2009-05-04,United Kingdom,Bristol,11,5,15,WSW,0.6,85,68,1027
2009-05-05,United Kingdom,Bristol,16,10,24,W,0.0,79,56,1022
2009-05-06,United Kingdom,Bristol,14,10,23,WSW,0.3,82,84,1018
2009-05-07,United Kingdom,Bristol,15,10,20,SW,0.5,80,72,1013
2009-05-08,United Kingdom,Bristol,14,8,24,WSW,0.7,73,32,1011
2009-05-09,United Kingdom,Bristol,14,6,13,SW,0.0,77,55,1016
2009-05-10,United Kingdom,Bristol,15,2,7,ESE,0.0,82,56,1019
2009-05-11,United Kingdom,Bristol,16,8,26,ENE,0.0,65,13,1021
2009-05-12,United Kingdom,Bristol,16,5,23,NE,0.0,66,18,1020
2009-05-13,United Kingdom,Bristol,13,8,13,ENE,1.6,92,96,1014
2009-05-14,United Kingdom,Bristol,18,7,5,E,2.7,93,91,1008
2009-05-15,United Kingdom,Bristol,13,8,10,SW,2.9,94,83,1002
2009-05-16,United Kingdom,Bristol,14,6,24,S,1.8,80,58,1003
2009-05-17,United Kingdom,Bristol,12,7,19,S,4.7,88,62,1004
2009-05-18,United Kingdom,Bristol,13,9,22,SSW,1.7,82,72,1010
2009-05-19,United Kingdom,Bristol,14,9,18,SSW,1.7,83,43,1015
2009-05-20,United Kingdom,Bristol,16,7,15,SSW,1.2,82,39,1018
2009-05-21,United Kingdom,Bristol,16,8,15,WSW,0.2,77,43,1015
2009-05-22,United Kingdom,Bristol,16,7,14,WSW,0.0,78,60,1017
2009-05-23,United Kingdom,Bristol,18,6,8,SW,0.0,78,28,1017
2009-05-24,United Kingdom,Bristol,24,8,5,SW,0.0,78,2,1019
2009-05-25,United Kingdom,Bristol,23,9,8,SW,1.0,81,43,1015
2009-05-26,United Kingdom,Bristol,14,10,20,W,1.0,74,46,1016
2009-05-27,United Kingdom,Bristol,14,8,21,WSW,1.8,90,78,1022
2009-05-28,United Kingdom,Bristol,22,12,12,WNW,0.0,85,33,1029
2009-05-29,United Kingdom,Bristol,23,11,10,SE,0.0,80,14,1029
2009-05-30,United Kingdom,Bristol,23,10,12,E,0.0,67,1,1026
2009-05-31,United Kingdom,Bristol,22,10,12,NE,0.0,76,7,1026
2009-06-01,United Kingdom,Bristol,23,12,13,NE,0.2,74,5,1026
2009-06-02,United Kingdom,Bristol,23,12,10,ESE,0.1,68,2,1026
