date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Derby,4,-1,21,E,0.0,84,37,1028
2009-01-02,United Kingdom,Derby,4,1,22,E,0.1,87,36,1029
2009-01-03,United Kingdom,Derby,2,-3,16,E,0.0,81,10,1029
2009-01-04,United Kingdom,Derby,4,-4,9,SW,0.2,84,60,1024
2009-01-05,United Kingdom,Derby,4,-1,20,NE,0.8,83,31,1022
2009-01-06,United Kingdom,Derby,1,-4,13,NE,0.0,74,3,1028
2009-01-07,United Kingdom,Derby,3,-4,9,WNW,0.2,80,55,1027
2009-01-08,United Kingdom,Derby,6,0,5,S,0.0,88,31,1028
2009-01-09,United Kingdom,Derby,3,-1,13,ESE,0.0,90,18,1027
2009-01-10,United Kingdom,Derby,6,0,20,S,0.0,85,14,1025
2009-01-11,United Kingdom,Derby,10,6,38,SSW,0.1,76,42,1019
2009-01-12,United Kingdom,Derby,11,9,32,SW,10.4,90,87,1008
2009-01-13,United Kingdom,Derby,8,3,16,WSW,2.4,89,47,1010
2009-01-14,United Kingdom,Derby,8,2,20,SSW,3.0,90,56,1011
2009-01-15,United Kingdom,Derby,8,8,33,S,8.6,91,96,1007
2009-01-16,United Kingdom,Derby,9,7,26,SSW,1.4,91,78,1009
2009-01-17,United Kingdom,Derby,9,7,38,SW,10.8,84,71,1003
2009-01-18,United Kingdom,Derby,6,4,28,WSW,14.6,85,65,996
2009-01-19,United Kingdom,Derby,8,4,29,SW,14.4,88,84,982
2009-01-20,United Kingdom,Derby,6,3,20,WSW,5.5,83,43,990
2009-01-21,United Kingdom,Derby,7,3,24,SW,9.2,87,64,998
2009-01-22,United Kingdom,Derby,10,4,26,SW,19.3,88,85,984
2009-01-23,United Kingdom,Derby,7,3,26,W,16.0,87,60,980
2009-01-24,United Kingdom,Derby,7,3,26,W,16.0,87,60,980
2009-01-25,United Kingdom,Derby,8,5,30,SSW,7.0,82,65,980
2009-01-26,United Kingdom,Derby,8,2,14,W,1.0,90,66,997
2009-01-27,United Kingdom,Derby,9,4,19,S,13.2,95,74,1010
2009-01-28,United Kingdom,Derby,9,4,10,WSW,12.1,92,52,1012
2009-01-29,United Kingdom,Derby,7,6,29,SE,1.1,92,89,1011
2009-01-30,United Kingdom,Derby,9,6,34,SE,2.3,90,85,1008
2009-01-31,United Kingdom,Derby,8,5,34,ESE,0.0,78,61,1006
2009-02-01,United Kingdom,Derby,3,-1,36,E,0.0,74,28,1008
2009-02-02,United Kingdom,Derby,1,-2,25,ENE,2.9,74,74,1001
2009-02-03,United Kingdom,Derby,4,0,22,SSW,4.9,83,54,991
2009-02-04,United Kingdom,Derby,5,1,28,ESE,4.0,89,89,990
2009-02-05,United Kingdom,Derby,1,0,23,NE,12.4,97,100,988
2009-02-06,United Kingdom,Derby,2,1,31,SE,13.9,91,55,992
2009-02-07,United Kingdom,Derby,3,1,25,NNW,0.7,91,60,1000
2009-02-08,United Kingdom,Derby,5,-1,15,WSW,1.4,90,56,1002
2009-02-09,United Kingdom,Derby,4,2,22,SE,26.2,97,97,992
2009-02-10,United Kingdom,Derby,7,2,30,NW,8.9,87,71,1004
2009-02-11,United Kingdom,Derby,7,1,13,WNW,0.3,90,35,1019
2009-02-12,United Kingdom,Derby,6,-1,12,SSW,1.3,88,58,1026
2009-02-13,United Kingdom,Derby,9,7,14,WNW,0.2,94,88,1024
2009-02-14,United Kingdom,Derby,6,5,11,SSE,0.6,90,98,1028
2009-02-15,United Kingdom,Derby,9,3,11,W,0.0,89,40,1029
2009-02-16,United Kingdom,Derby,10,4,14,WNW,0.0,88,42,1028
2009-02-17,United Kingdom,Derby,9,6,18,NW,0.0,86,56,1029
2009-02-18,United Kingdom,Derby,8,6,8,WNW,1.3,89,91,1027
2009-02-19,United Kingdom,Derby,10,5,11,NNW,1.2,86,58,1028
2009-02-20,United Kingdom,Derby,9,5,8,SSW,0.0,84,37,1032
2009-02-21,United Kingdom,Derby,10,4,15,WNW,0.0,84,33,1034
2009-02-22,United Kingdom,Derby,10,6,21,WNW,0.0,88,55,1031
2009-02-23,United Kingdom,Derby,9,6,16,NW,0.1,91,73,1027
2009-02-24,United Kingdom,Derby,11,7,5,SW,0.1,88,82,1028
2009-02-25,United Kingdom,Derby,9,4,12,WSW,0.3,87,63,1029
2009-02-26,United Kingdom,Derby,10,5,18,W,0.0,88,57,1027
2009-02-27,United Kingdom,Derby,11,6,17,W,0.0,87,62,1022
2009-02-28,United Kingdom,Derby,11,4,12,S,0.0,87,45,1014
2009-03-01,United Kingdom,Derby,10,2,14,WSW,0.0,85,51,1010
2009-03-02,United Kingdom,Derby,10,4,17,W,0.1,84,51,1017
2009-03-03,United Kingdom,Derby,8,5,27,SW,8.6,93,92,1002
2009-03-04,United Kingdom,Derby,5,1,16,W,2.2,80,81,983
2009-03-05,United Kingdom,Derby,6,2,22,SW,10.1,84,41,993
