date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Nottingham,0,-6,5,SW,0.1,90,44,1031
2009-01-02,United Kingdom,Nottingham,5,-1,12,NE,0.5,91,51,1031
2009-01-03,United Kingdom,Nottingham,2,-3,8,SSW,0.0,84,6,1030
2009-01-04,United Kingdom,Nottingham,1,-3,14,W,0.0,80,59,1022
2009-01-05,United Kingdom,Nottingham,1,-3,13,ENE,2.3,89,47,1024
2009-01-06,United Kingdom,Nottingham,0,-5,8,SSE,0.0,86,10,1028
2009-01-07,United Kingdom,Nottingham,2,-3,10,WNW,0.3,94,83,1025
2009-01-08,United Kingdom,Nottingham,4,-1,9,SW,0.1,94,52,1028
2009-01-09,United Kingdom,Nottingham,2,-3,8,SSW,0.0,88,8,1029
2009-01-10,United Kingdom,Nottingham,0,-5,17,SSW,0.0,75,15,1025
2009-01-11,United Kingdom,Nottingham,8,1,35,SSW,0.0,80,46,1017
2009-01-12,United Kingdom,Nottingham,9,8,30,SSW,6.5,91,89,1007
2009-01-13,United Kingdom,Nottingham,8,3,15,WSW,0.2,94,76,1007
2009-01-14,United Kingdom,Nottingham,4,0,12,SW,0.1,93,54,1012
2009-01-15,United Kingdom,Nottingham,6,3,26,SSE,0.7,91,87,1010
2009-01-16,United Kingdom,Nottingham,7,4,23,S,3.6,93,89,1010
2009-01-17,United Kingdom,Nottingham,8,6,33,SSW,3.1,87,68,1001
2009-01-18,United Kingdom,Nottingham,5,3,25,SW,0.0,84,29,992
2009-01-19,United Kingdom,Nottingham,4,0,23,SSW,4.5,93,73,980
2009-01-20,United Kingdom,Nottingham,5,1,23,SW,0.0,88,25,987
2009-01-21,United Kingdom,Nottingham,4,1,21,SSW,3.6,92,64,998
2009-01-22,United Kingdom,Nottingham,9,3,28,SSW,8.5,90,76,984
2009-01-23,United Kingdom,Nottingham,3,1,19,SSW,7.8,96,69,977
2009-01-24,United Kingdom,Nottingham,5,0,15,WSW,0.0,92,27,987
2009-01-25,United Kingdom,Nottingham,7,3,24,SSE,5.4,94,72,983
