date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Reading,1,-5,8,NE,0.0,86,28,1030
2009-01-02,United Kingdom,Reading,3,-1,12,NE,0.1,91,38,1030
2009-01-03,United Kingdom,Reading,2,-3,10,NE,0.0,82,4,1030
2009-01-04,United Kingdom,Reading,0,-4,9,W,0.0,82,63,1024
2009-01-05,United Kingdom,Reading,3,-3,20,SE,0.2,86,44,1021
2009-01-06,United Kingdom,Reading,1,-4,13,ENE,0.0,79,5,1027
2009-01-07,United Kingdom,Reading,3,-6,11,NNW,0.1,87,52,1026
2009-01-08,United Kingdom,Reading,4,-3,4,SSE,0.0,94,29,1029
2009-01-09,United Kingdom,Reading,3,-3,5,E,0.0,84,3,1028
2009-01-10,United Kingdom,Reading,2,-4,9,SSW,0.0,81,6,1027
2009-01-11,United Kingdom,Reading,8,1,28,SSW,0.0,80,27,1023
2009-01-12,United Kingdom,Reading,10,7,33,SSW,3.6,87,83,1011
2009-01-13,United Kingdom,Reading,8,3,15,SW,0.2,94,54,1009
2009-01-14,United Kingdom,Reading,6,0,10,SW,0.0,92,37,1013
2009-01-15,United Kingdom,Reading,7,5,24,SSE,0.1,85,72,1012
2009-01-16,United Kingdom,Reading,8,5,21,S,2.1,91,92,1013
2009-01-17,United Kingdom,Reading,9,7,32,SSW,3.8,85,70,1006
2009-01-18,United Kingdom,Reading,6,3,24,WSW,2.4,88,38,996
2009-01-19,United Kingdom,Reading,7,1,26,SSW,3.4,91,63,983
2009-01-20,United Kingdom,Reading,6,2,17,SW,0.1,88,37,990
2009-01-21,United Kingdom,Reading,5,1,20,SSW,2.6,89,53,1000
2009-01-22,United Kingdom,Reading,10,5,27,SSW,7.2,91,87,987
2009-01-23,United Kingdom,Reading,5,2,23,W,17.6,93,66,977
2009-01-24,United Kingdom,Reading,7,1,12,W,0.0,90,32,989
2009-01-25,United Kingdom,Reading,8,5,23,SSE,5.2,93,74,985
2009-01-26,United Kingdom,Reading,8,2,9,ESE,0.1,94,41,998
2009-01-27,United Kingdom,Reading,7,1,12,S,0.2,93,47,1012
2009-01-28,United Kingdom,Reading,8,5,13,S,4.9,97,100,1013
2009-01-29,United Kingdom,Reading,5,2,18,SE,0.6,90,57,1016
2009-01-30,United Kingdom,Reading,6,2,24,SE,0.1,82,41,1015
2009-01-31,United Kingdom,Reading,5,1,26,ESE,0.0,74,56,1011
2009-02-01,United Kingdom,Reading,2,-2,27,ENE,0.3,77,61,1010
2009-02-02,United Kingdom,Reading,0,-2,21,NE,7.7,90,99,998
2009-02-03,United Kingdom,Reading,3,-3,16,SSE,1.0,91,54,996
2009-02-04,United Kingdom,Reading,2,-1,16,ESE,1.5,93,55,994
2009-02-05,United Kingdom,Reading,4,0,12,NE,2.2,98,94,989
2009-02-06,United Kingdom,Reading,1,0,25,ESE,19.6,97,91,990
2009-02-07,United Kingdom,Reading,3,-4,14,NW,0.2,95,53,997
2009-02-08,United Kingdom,Reading,4,0,12,SW,1.1,93,72,1002
2009-02-09,United Kingdom,Reading,3,0,16,SSE,20.1,98,82,994
2009-02-10,United Kingdom,Reading,4,0,27,W,14.1,94,78,998
2009-02-11,United Kingdom,Reading,6,-1,12,WNW,1.4,94,46,1017
2009-02-12,United Kingdom,Reading,3,-3,12,WSW,1.9,86,47,1024
2009-02-13,United Kingdom,Reading,5,1,16,E,4.0,92,64,1022
2009-02-14,United Kingdom,Reading,7,-1,6,E,0.0,84,12,1028
2009-02-15,United Kingdom,Reading,8,1,13,WSW,1.1,91,72,1028
2009-02-16,United Kingdom,Reading,11,4,15,WNW,0.0,88,51,1026
2009-02-17,United Kingdom,Reading,9,6,16,NW,0.6,91,82,1026
2009-02-18,United Kingdom,Reading,10,8,5,SSE,2.0,94,94,1027
2009-02-19,United Kingdom,Reading,10,5,4,WSW,1.2,92,78,1027
2009-02-20,United Kingdom,Reading,9,3,9,NW,0.0,88,46,1031
2009-02-21,United Kingdom,Reading,11,4,10,WNW,0.3,84,34,1032
2009-02-22,United Kingdom,Reading,9,4,15,WNW,0.2,87,68,1028
2009-02-23,United Kingdom,Reading,9,4,15,WNW,0.2,87,68,1028
2009-02-24,United Kingdom,Reading,11,6,6,WNW,0.0,90,82,1027
2009-02-25,United Kingdom,Reading,10,8,13,W,0.1,85,87,1028
2009-02-26,United Kingdom,Reading,10,5,18,W,0.1,82,45,1025
2009-02-27,United Kingdom,Reading,13,6,16,W,0.1,86,41,1021
2009-02-28,United Kingdom,Reading,11,3,8,SSW,0.0,88,24,1014
2009-03-01,United Kingdom,Reading,11,2,10,SW,0.3,86,63,1008
2009-03-02,United Kingdom,Reading,10,2,13,W,0.4,84,53,1016
2009-03-03,United Kingdom,Reading,9,6,26,SSW,8.5,92,98,1004
2009-03-04,United Kingdom,Reading,6,0,10,WSW,18.0,88,52,983
2009-03-05,United Kingdom,Reading,8,-1,12,SSE,0.0,83,44,992
2009-03-06,United Kingdom,Reading,9,-1,12,W,0.0,83,23,1006
2009-03-07,United Kingdom,Reading,12,3,16,WSW,0.2,88,77,1009
2009-03-08,United Kingdom,Reading,8,2,27,WSW,7.2,84,47,1004
2009-03-09,United Kingdom,Reading,9,2,25,W,0.5,77,51,1011
2009-03-10,United Kingdom,Reading,10,5,20,W,5.0,92,89,1010
2009-03-11,United Kingdom,Reading,13,1,9,WSW,0.1,89,53,1022
2009-03-12,United Kingdom,Reading,11,9,18,WSW,0.6,90,96,1021
2009-03-13,United Kingdom,Reading,11,6,11,SSW,0.1,88,73,1020
2009-03-14,United Kingdom,Reading,13,7,18,WSW,0.1,80,56,1017
2009-03-15,United Kingdom,Reading,14,4,9,SW,0.0,83,13,1030
2009-03-16,United Kingdom,Reading,15,4,8,SW,0.0,83,27,1032
2009-03-17,United Kingdom,Reading,15,5,11,E,0.0,83,12,1034
2009-03-18,United Kingdom,Reading,16,3,7,E,0.0,82,14,1032
2009-03-19,United Kingdom,Reading,14,4,11,ENE,0.0,80,10,1028
2009-03-20,United Kingdom,Reading,12,1,9,ESE,0.0,79,28,1032
2009-03-21,United Kingdom,Reading,14,0,10,W,0.0,77,13,1031
2009-03-22,United Kingdom,Reading,14,5,15,NW,0.0,82,34,1032
2009-03-23,United Kingdom,Reading,10,5,24,WNW,0.4,81,69,1020
