date,country,city,maximum_temprature,minimum_temprature,wind_speed,wind_direction,amount_of_rain,humidity,cloud_coverage,pressure
2009-01-01,United Kingdom,Stoke-On-Trent,-1,-6,6,ESE,0.0,83,25,1031
2009-01-02,United Kingdom,Stoke-On-Trent,4,-2,10,ENE,0.1,92,51,1032
2009-01-03,United Kingdom,Stoke-On-Trent,1,-4,6,SW,0.0,87,13,1031
2009-01-04,United Kingdom,Stoke-On-Trent,1,-4,11,WSW,0.0,86,46,1023
2009-01-05,United Kingdom,Stoke-On-Trent,1,-4,13,ENE,3.2,91,39,1024
2009-01-06,United Kingdom,Stoke-On-Trent,-1,-6,7,SSW,0.0,88,13,1028
2009-01-07,United Kingdom,Stoke-On-Trent,2,-3,11,W,3.1,96,98,1026
2009-01-08,United Kingdom,Stoke-On-Trent,4,-1,7,SW,1.2,94,30,1028
2009-01-09,United Kingdom,Stoke-On-Trent,2,-4,9,S,0.0,87,4,1028
2009-01-10,United Kingdom,Stoke-On-Trent,2,-5,19,S,0.0,88,27,1024
2009-01-11,United Kingdom,Stoke-On-Trent,8,4,35,SSW,0.3,83,81,1015
2009-01-12,United Kingdom,Stoke-On-Trent,9,7,25,SSW,12.7,93,81,1005
2009-01-13,United Kingdom,Stoke-On-Trent,7,2,14,WSW,1.1,95,61,1007
2009-01-14,United Kingdom,Stoke-On-Trent,4,0,16,SSW,0.8,93,62,1012
2009-01-15,United Kingdom,Stoke-On-Trent,7,5,31,SSE,1.3,92,100,1008
2009-01-16,United Kingdom,Stoke-On-Trent,8,5,25,S,1.4,91,93,1008
2009-01-17,United Kingdom,Stoke-On-Trent,7,5,31,SSW,7.0,89,78,999
2009-01-18,United Kingdom,Stoke-On-Trent,5,2,23,SW,2.0,84,32,991
2009-01-19,United Kingdom,Stoke-On-Trent,4,0,24,SSW,5.3,94,75,979
2009-01-20,United Kingdom,Stoke-On-Trent,4,1,23,SW,0.0,86,32,986
2009-01-21,United Kingdom,Stoke-On-Trent,3,0,22,SSW,4.7,91,53,997
2009-01-22,United Kingdom,Stoke-On-Trent,8,2,28,SSW,7.3,89,71,983
2009-01-23,United Kingdom,Stoke-On-Trent,4,1,19,WSW,7.1,94,60,977
2009-01-24,United Kingdom,Stoke-On-Trent,5,0,15,WSW,0.0,91,29,987
2009-01-25,United Kingdom,Stoke-On-Trent,6,3,26,SSE,4.6,91,56,981
2009-01-26,United Kingdom,Stoke-On-Trent,6,3,9,SSE,0.1,93,72,998
2009-01-27,United Kingdom,Stoke-On-Trent,6,1,18,S,1.4,95,71,1010
2009-01-28,United Kingdom,Stoke-On-Trent,8,3,9,SSE,10.5,95,71,1012
2009-01-29,United Kingdom,Stoke-On-Trent,6,1,20,SE,0.3,93,74,1014
2009-01-30,United Kingdom,Stoke-On-Trent,5,1,29,SE,1.7,87,72,1013
2009-01-31,United Kingdom,Stoke-On-Trent,5,0,27,ESE,0.0,74,50,1011
2009-02-01,United Kingdom,Stoke-On-Trent,2,-2,23,E,0.2,79,57,1014
2009-02-02,United Kingdom,Stoke-On-Trent,0,-2,19,NE,2.6,86,94,1003
2009-02-03,United Kingdom,Stoke-On-Trent,1,-2,22,SE,0.6,92,79,994
2009-02-04,United Kingdom,Stoke-On-Trent,3,-2,12,SE,0.8,95,75,995
2009-02-05,United Kingdom,Stoke-On-Trent,0,-3,14,NNE,6.5,94,82,991
2009-02-06,United Kingdom,Stoke-On-Trent,1,-2,14,SSW,1.5,91,40,993
2009-02-07,United Kingdom,Stoke-On-Trent,2,-3,15,NW,0.0,92,46,997
2009-02-08,United Kingdom,Stoke-On-Trent,2,-5,11,SW,3.2,93,51,1001
2009-02-09,United Kingdom,Stoke-On-Trent,3,-1,15,SSE,3.1,98,79,995
2009-02-10,United Kingdom,Stoke-On-Trent,4,0,22,W,3.9,93,64,1001
2009-02-11,United Kingdom,Stoke-On-Trent,5,0,14,SSW,3.3,96,62,1017
2009-02-12,United Kingdom,Stoke-On-Trent,2,-2,13,W,1.6,87,59,1024
2009-02-13,United Kingdom,Stoke-On-Trent,6,1,8,ENE,3.7,92,66,1023
2009-02-14,United Kingdom,Stoke-On-Trent,3,1,9,S,1.8,92,65,1028
2009-02-15,United Kingdom,Stoke-On-Trent,7,2,14,W,0.8,95,87,1026
2009-02-16,United Kingdom,Stoke-On-Trent,10,5,17,WNW,0.5,89,69,1026
2009-02-17,United Kingdom,Stoke-On-Trent,9,6,17,WNW,0.5,92,83,1026
2009-02-18,United Kingdom,Stoke-On-Trent,8,6,7,NW,4.8,95,84,1027
2009-02-19,United Kingdom,Stoke-On-Trent,9,4,11,WNW,0.0,88,46,1027
2009-02-20,United Kingdom,Stoke-On-Trent,8,2,9,WNW,0.2,88,63,1031
